cross,fert,king_robust_27,king_homog_111,king_homog_27
M029-L098,6.549747986,0.230748637,0.043630826,0.143815288
L098-M029,37.84112943,0.230748637,0.043630826,0.143815288
B022-M031 ,86.76470588,0.22765058,0.020180776,0.126732219
M031-B022 ,47.81754799,0.22765058,0.020180776,0.126732219
U108-L098,19.00351237,0.227061361,0.034317474,0.137183927
L098-U108,38.4245664,0.227061361,0.034317474,0.137183927
L028-U104 ,16.57236842,0.226550274,0.032878744,0.136298229
U104-L028 ,31.83596891,0.226550274,0.032878744,0.136298229
M065-U108,23.95061728,0.226541176,0.019611375,0.126218319
U108-M065,25.47319347,0.226541176,0.019611375,0.126218319
M065-L056,20.89973737,0.22654085,0.02237877,0.12756509
L056-M065,39.99326146,0.22654085,0.02237877,0.12756509
M029-M065,16.31198686,0.223941988,0.01605976,0.122828761
M065-M029,4.738015608,0.223941988,0.01605976,0.122828761
