120168761_(Axiom_AcropSNP)_K23.CEL,,,,,X23
120168762_(Axiom_AcropSNP)_M01.CEL,,,,,Z01
120168764_(Axiom_AcropSNP)_M05.CEL,,,,,Z05
120168764_(Axiom_AcropSNP)_M05_2.CEL,,,,,Z05_2
120168765_(Axiom_AcropSNP)_M07.CEL,,,,,Z07
120168766_(Axiom_AcropSNP)_M09.CEL,,,,,Z09
120168767_(Axiom_AcropSNP)_M11.CEL,,,,,Z11
120168768_(Axiom_AcropSNP)_M13.CEL,,,,,Z13
120168769_(Axiom_AcropSNP)_M15.CEL,,,,,Z15
120168770_(Axiom_AcropSNP)_M17.CEL,,,,,Z17
120168771_(Axiom_AcropSNP)_M19.CEL,,,,,Z19
120168772_(Axiom_AcropSNP)_M21.CEL,,,,,Z21
120168773_(Axiom_AcropSNP)_M23.CEL,,,,,Z23
120168774_(Axiom_AcropSNP)_O01.CEL,,,,,O01
120168775_(Axiom_AcropSNP)_O03.CEL,,,,,O03
120168776_(Axiom_AcropSNP)_O05.CEL,,,,,B_022
120168777_(Axiom_AcropSNP)_O07.CEL,,,,,M_067
120168778_(Axiom_AcropSNP)_O09.CEL,,,,,U_010
120168779_(Axiom_AcropSNP)_O11.CEL,,,,,U_015
120168780_(Axiom_AcropSNP)_O13.CEL,,,,,U_124
120168781_(Axiom_AcropSNP)_O15.CEL,,,,,U_035
120168782_(Axiom_AcropSNP)_O17.CEL,,,,,U_040
120168783_(Axiom_AcropSNP)_O19.CEL,,,,,U_049
120168784_(Axiom_AcropSNP)_O21.CEL,,,,,U_077
120168785_(Axiom_AcropSNP)_O23.CEL,,,,,U_108
