"","ID1","ID2","k0","k1","kinship"
"1","B_022.2","L_056",0.868737508914959,0.0732113638712053,0.0473284045747192
"2","B_022.2","L_098",0.942953023362747,0.00893634841349766,0.026289401215252
"3","B_022.2","U_108.2",0.928617962726776,-0.0147941770428366,0.0393895628973212
"4","B_022.2","M_065",0.975206532869377,-0.0689850882204002,0.0296430056204116
"5","B_022.2","M_029",0.789654461368371,0.212969208889616,0.0519304670934102
"6","B_022.2","M_057",0.836794753534448,0.0896463591591541,0.0591910334429874
"7","B_022.2","U_007",0.819952231653133,0.0719409958930479,0.0720386352001715
"8","B_022.2","L_ 025",0.923378664168578,0.0328826059307545,0.0300900164330223
"9","B_022.2","L_028",0.852497907182368,0.10515127379434,0.0474632279602311
"10","B_022.2","M_031",1.04297032661727,-0.166663757866788,0.0201807761580626
"11","B_022.2","U_048",0.822524691426506,0.108991044087833,0.0614898932647887
"12","B_022.2","M_067.2",0.815864280670297,0.119568695683355,0.0621756857440126
"13","B_022.2","U_104",0.848945004851219,0.0899386665783002,0.0530428309298153
"14","B_022.2","U_121",0.801176708205858,0.144122748271184,0.063380958829275
"15","L_056","L_098",0.964068781728519,-0.177041650364643,0.0622260217269011
"16","L_056","U_108.2",0.910258698651118,-0.0699736757529335,0.0623640696126744
"17","L_056","M_065",0.984854325620894,-0.0592237319838429,0.0223787701855136
"18","L_056","M_029",0.769707281968043,0.00558682046137582,0.113749653900635
"19","L_056","M_057",0.909901428407593,-0.00739154832137445,0.0468971728765472
"20","L_056","U_007",1.01098320041306,-0.212682965352349,0.0476791411315562
"21","L_056","L_ 025",0.777681367373018,0.101326517885278,0.0858276868421717
"22","L_056","L_028",0.790069415199418,0.174962361631921,0.0612247019923106
"23","L_056","M_031",1.05063505176951,-0.234872218744514,0.0334005288013722
"24","L_056","U_048",0.941104557571976,0.0521294200950122,0.016415366190259
"25","L_056","M_067.2",0.831411916218459,0.090111698501312,0.0617661172654423
"26","L_056","U_104",1.01122173635659,-0.248990943658832,0.0566368677364136
"27","L_056","U_121",0.895600772352833,-0.0643039958019092,0.0682756127740606
"28","L_098","U_108.2",1.20425655526394,-0.545783007635751,0.0343174742769652
"29","L_098","M_065",0.900903239177718,-0.0114566712557855,0.0524125482250872
"30","L_098","M_029",1.03531568962146,-0.245154684190374,0.0436308262368623
"31","L_098","M_057",0.685367876741386,0.257969829094622,0.0928236043556515
"32","L_098","U_007",0.781269337707227,0.0133432640673117,0.106029515129558
"33","L_098","L_ 025",0.87842215259881,-0.106111809232423,0.0873168760087009
"34","L_098","L_028",0.915030017967474,0.0183711306286121,0.0378922083591099
"35","L_098","M_031",0.771805968109205,0.0280860467347799,0.107075504261703
"36","L_098","U_048",0.862076773842858,0.106440058870871,0.0423515983608535
"37","L_098","M_067.2",0.835053279535,-0.0395553873677135,0.0923622070744282
"38","L_098","U_104",0.786671367544543,0.047045445569289,0.0949029548354061
"39","L_098","U_121",0.939020850406636,-0.196940527212551,0.0797247065998195
"40","U_108.2","M_065",1.11817011664908,-0.314785733265494,0.0196113749918321
"41","U_108.2","M_029",0.779679901351126,0.165992156223029,0.0686620102686798
"42","U_108.2","M_057",0.918595477534444,-0.0508073077617888,0.0534040881732252
"43","U_108.2","U_007",0.999728658020625,-0.253426455268426,0.0634922848067939
"44","U_108.2","L_ 025",0.86682051160307,-0.0381302537783763,0.076122307643059
"45","U_108.2","L_028",1.056406749357,-0.233815813731631,0.0302505787544076
"46","U_108.2","M_031",1.04836878656483,-0.288538568208593,0.0479502487697311
"47","U_108.2","U_048",1.08202118733972,-0.205419121203389,0.0103441866309882
"48","U_108.2","M_067.2",0.841260934875101,-0.0899637306164864,0.101860465216571
"49","U_108.2","U_104",1.0083495335072,-0.198798296008637,0.0455248072485569
"50","U_108.2","U_121",1.03346399195923,-0.309390713767804,0.060615682462334
"51","U_108.2","U_108",0.994143473503523,-0.108696662355691,0.0301024288371612
"52","M_065","M_029",0.958770061358983,0.0182208364444323,0.0160597602094003
"53","M_065","M_057",0.877200350243167,0.131279997413151,0.028579825525129
"54","M_065","U_007",0.958898442636883,-0.1131370501631,0.0488350412223336
"55","M_065","L_ 025",0.84404909268326,0.0913576230657167,0.0551360478919407
"56","M_065","L_028",0.891329940425957,0.00994366953047732,0.0518491124044023
"57","M_065","M_031",1.02020603535745,-0.165837096636185,0.0313562564803229
"58","M_065","U_048",0.839265896675044,0.103251295985787,0.0545542276660314
"59","M_065","M_067.2",0.818053481622636,0.0897013766655217,0.0685479150223015
"60","M_065","U_104",0.968461986414355,-0.107267911493505,0.0425859846661989
"61","M_065","U_121",0.985536148695529,-0.128120863510548,0.0392621415298723
"62","M_029","M_057",0.853537208241638,0.138057353427215,0.038717057522377
"63","M_029","U_007",0.793576081599355,0.113137126884738,0.0749276774791382
"64","M_029","L_ 025",0.856287159103956,-0.00435527718966822,0.0729452397454392
"65","M_029","L_028",0.905809435834439,0.0641210640267014,0.0310650160761053
"66","M_029","M_031",1.02272810373357,-0.163384796512545,0.0294821472613493
"67","M_029","U_048",0.879536664824017,0.186568408520296,0.0135895654579176
"68","M_029","M_067.2",0.848098612582229,0.06284075708748,0.0602405044370153
"69","M_029","U_104",0.805137638297716,0.0495170176782194,0.0850519264315874
"70","M_029","U_121",0.887673386353625,-0.0933612155285566,0.0795036107053266
"71","M_057","U_007",0.103623079546298,0.803304539121099,0.247362325446576
"72","M_057","L_ 025",0.800056786135654,0.0976504935599671,0.0755589835421811
"73","M_057","L_028",0.896778583909458,-0.0148898585097548,0.0553331726727098
