cross,fert,king_robust_27,king_homog_111,king_homog_27,Wang,LynchLi,LynchRd,Ritland,QuellerGt
U121-U048 ,52.44278046,0.249012714,0.065045675,0.161807132,0.7124,0.7233,0.8589,2.1509,0.8603
L025-U048 ,23.93673195,0.248634008,0.05790895,0.15638821,0.7063,0.7182,0.8524,2.1282,0.8572
U048-L025 ,27.93317793,0.248634008,0.05790895,0.15638821,0.7063,0.7182,0.8524,2.1282,0.8572
M031-U048 ,23.92810791,0.248112495,0.054086655,0.153923115,0.7049,0.7161,0.8549,2.1311,0.8562
U048-M031 ,16.08045977,0.248112495,0.054086655,0.153923115,0.7049,0.7161,0.8549,2.1311,0.8562
M057-U108,17.70562771,0.247188115,0.053404088,0.153292218,0.7041,0.7155,0.8537,2.0969,0.8551
U108-M057,83.07692308,0.247188115,0.053404088,0.153292218,0.7041,0.7155,0.8537,2.0969,0.8551
B022-U121 ,13.52699408,0.246142649,0.063380959,0.159605868,0.6947,0.7065,0.8463,2.1033,0.8507
U121-B022 ,82.99341682,0.246142649,0.063380959,0.159605868,0.6947,0.7065,0.8463,2.1033,0.8507
U007-L028 ,20.38162783,0.244258077,0.05300694,0.152591118,0.7045,0.7156,0.8559,2.1282,0.8565
L028-U007 ,41.44728238,0.244258077,0.05300694,0.152591118,0.7045,0.7156,0.8559,2.1282,0.8565
M031-U121 ,6.807181889,0.243730257,0.055710504,0.154410047,0.707,0.7174,0.8575,2.1338,0.8583
U121-M031 ,48.37094586,0.243730257,0.055710504,0.154410047,0.707,0.7174,0.8575,2.1338,0.8583
L098-L056,75.11067087,0.24195352,0.062226022,0.158378568,0.7097,0.7219,0.8564,2.1691,0.8618
L056-L098,9.775198084,0.24195352,0.062226022,0.158378568,0.7097,0.7219,0.8564,2.1691,0.8618
L028-U121 ,7.848897135,0.241591766,0.052993707,0.152341606,0.7048,0.7157,0.8564,2.1451,0.8569
U121-L028 ,31.1323764,0.241591766,0.052993707,0.152341606,0.7048,0.7157,0.8564,2.1451,0.8569
M057-L056,11.45491055,0.241100401,0.046897173,0.147407104,0.7003,0.712,0.8504,2.1101,0.8543
L056-M057,56.79012346,0.241100401,0.046897173,0.147407104,0.7003,0.712,0.8504,2.1101,0.8543
M057-M065,11.02559848,0.239123407,0.028579826,0.133547471,0.6871,0.6993,0.8454,2.0899,0.8469
M065-M057,0,0.239123407,0.028579826,0.133547471,0.6871,0.6993,0.8454,2.0899,0.8469
B022-U104 ,1.36009636,0.238385711,0.053042831,0.151511196,0.704,0.7156,0.8512,2.1199,0.8564
U104-B022 ,0.529100529,0.238385711,0.053042831,0.151511196,0.704,0.7156,0.8512,2.1199,0.8564
M057-M029,0.584795322,0.236917358,0.038717058,0.141074612,0.6958,0.7074,0.8442,2.1016,0.8518
M029-M057,44.79142835,0.236917358,0.038717058,0.141074612,0.6958,0.7074,0.8442,2.1016,0.8518
M065-L098,2.381544167,0.236006826,0.052412548,0.150617034,0.7035,0.7146,0.8572,2.1657,0.8575
L098-M065,51.12689179,0.236006826,0.052412548,0.150617034,0.7035,0.7146,0.8572,2.1657,0.8575
M031-U104 ,11.99331898,0.235843141,0.04567792,0.146265868,0.7012,0.7111,0.8574,2.126,0.8553
U104-M031 ,77.89767379,0.235843141,0.04567792,0.146265868,0.7012,0.7111,0.8574,2.126,0.8553
B022-L025 ,34.21652422,0.231914894,0.030090016,0.134181023,0.688,0.7005,0.8404,2.0917,0.8479
L025-B022 ,78.81241565,0.231914894,0.030090016,0.134181023,0.688,0.7005,0.8404,2.0917,0.8479
M029-L098,6.549747986,0.230748637,0.043630826,0.143815288,0.6982,0.7106,0.8477,2.162,0.8563
L098-M029,37.84112943,0.230748637,0.043630826,0.143815288,0.6982,0.7106,0.8477,2.162,0.8563
B022-M031 ,86.76470588,0.22765058,0.020180776,0.126732219,0.6822,0.6946,0.8406,2.0881,0.8449
M031-B022 ,47.81754799,0.22765058,0.020180776,0.126732219,0.6822,0.6946,0.8406,2.0881,0.8449
U108-L098,19.00351237,0.227061361,0.034317474,0.137183927,0.691,0.7032,0.848,2.129,0.8517
L098-U108,38.4245664,0.227061361,0.034317474,0.137183927,0.691,0.7032,0.848,2.129,0.8517
L028-U104 ,16.57236842,0.226550274,0.032878744,0.136298229,0.6914,0.7029,0.8516,2.125,0.8507
U104-L028 ,31.83596891,0.226550274,0.032878744,0.136298229,0.6914,0.7029,0.8516,2.125,0.8507
M065-U108,23.95061728,0.226541176,0.019611375,0.126218319,0.6795,0.6934,0.8405,2.0957,0.8451
U108-M065,25.47319347,0.226541176,0.019611375,0.126218319,0.6795,0.6934,0.8405,2.0957,0.8451
M065-L056,20.89973737,0.22654085,0.02237877,0.12756509,0.683,0.696,0.8427,2.1262,0.8474
L056-M065,39.99326146,0.22654085,0.02237877,0.12756509,0.683,0.696,0.8427,2.1262,0.8474
M029-M065,16.31198686,0.223941988,0.01605976,0.122828761,0.6789,0.6924,0.8353,2.1175,0.8454
M065-M029,4.738015608,0.223941988,0.01605976,0.122828761,0.6789,0.6924,0.8353,2.1175,0.8454
